area_m2,n_cuartos,n_banos,n_garajes,tipo_inmueble,zona,valor_venta,barrio_comun
200.0,4.0,4,2.0,Apartamento,NORTE,1200000000,SANTA BARBARA OCCIDENTAL
150.0,3.0,3,3.0,Apartamento,NORTE,690000000,LA CAROLINA
126.0,2.0,3,2.0,Apartamento,CHAPINERO,990000000,LOS ROSALES
218.0,3.0,4,2.0,Apartamento,NORTE,1600000000,EL NOGAL
125.0,2.0,3,2.0,Apartamento,NORTE,850000000,LA CAROLINA
106.0,3.0,3,1.0,Apartamento,NORTE,415000000,LOS CEDROS
164.0,3.0,4,2.0,Casa,NOROCCIDENTE,660000000,BATAN
66.0,3.0,2,1.0,Apartamento,OCCIDENTAL,275000000,HAYUELOS
52.56,3.0,2,1.0,Apartamento,OCCIDENTAL,265000000,SAN FERNANDO
66.26,3.0,2,1.0,Apartamento,OCCIDENTAL,346400000,VILLAS DE GRANADA
300.0,4.0,3,3.0,Casa,NORTE,830000000,LISBOA
153.0,3.0,3,2.0,Apartamento,NORTE,1150000000,RESERVA DE LA SIERRA
380.0,1.0,4,3.0,Casa,OCCIDENTAL,1100000000,EL GRECO
38.0,1.0,1,1.0,Apartamento,NORTE,250000000,"CHICO, CLINICA DE LA MUJER"
109.0,4.0,3,0.0,Casa,OCCIDENTAL,250000000,VILLAS DE GRANADA
267.0,4.0,5,3.0,Casa,SIN DATO,1400000000,ENCENILLOS DE SINDAMANOY
60.0,2.0,2,1.0,Apartamento,NOROCCIDENTE,323000000,NUEVA COLINA
82.54,2.0,2,2.0,Apartamento,NORTE,559999555,SANTA PAULA
156.0,4.0,3,2.0,Casa,OCCIDENTAL,550000000,LA EUROPA
39.0,2.0,1,0.0,Apartamento,OCCIDENTAL,160000000,PIO XII
424.0,5.0,5,0.0,Casa,SUR,700000000,LOS SAUCES
134.0,2.0,3,2.0,Apartamento,NORTE,680000000,SAN PATRICIO
440.0,4.0,5,3.0,Casa,NOROCCIDENTE,1500000000,SAN JOSE DE BAVARIA
69.0,3.0,2,1.0,Apartamento,OCCIDENTAL,590000000,LA ESPERANZA NORTE
120.0,3.0,3,2.0,Apartamento,NORTE,650000000,EL CHICO
58.0,4.0,2,1.0,Casa,NOROCCIDENTE,196000000,MIRANDELA VILLAS DEL NORTE
355.0,4.0,3,3.0,Casa,SIN DATO,1600000000,CEDRITOS
138.0,2.0,3,2.0,Apartamento,NORTE,950000000,BELLAVISTA ROSALES
114.0,3.0,3,2.0,Apartamento,NORTE,890000000,LA CABRERA
92.0,3.0,2,0.0,Apartamento,CHAPINERO,430000000,CHAPINERO ALTO
71.0,2.0,2,1.0,Apartamento,NORTE,350000000,CEDRITOS
69.0,2.0,2,1.0,Apartamento,NORTE,460000000,SANTA BARBARA OCCIDENTAL
65.0,3.0,2,1.0,Apartamento,OCCIDENTAL,230000000,TABORA
328.0,3.0,4,2.0,Apartamento,NORTE,2700000000,EL NOGAL
188.0,4.0,4,2.0,Casa,GUAYMARAL,800000000,CAMINO DE LOS ARRAYANES
208.0,3.0,3,2.0,Casa,NOROCCIDENTE,890000000,NIZA SUBA
126.0,3.0,4,2.0,Apartamento,NORTE,760000000,SAN PATRICIO
416.29,5.0,3,4.0,Casa,NOROCCIDENTE,1350000000,NIZA NORTE
89.0,3.0,2,2.0,Apartamento,NOROCCIDENTE,450000000,ALCAZAR DE SAN LUIS
107.0,3.0,3,2.0,Apartamento,NORTE,750000000,CHICO
73.0,2.0,2,1.0,Apartamento,NORTE,285000000,CEDRITOS
280.0,5.0,4,0.0,Casa,SUR,480000000,RESTREPO
103.0,3.0,3,2.0,Apartamento,NOROCCIDENTE,530000000,MAZUREN
40.0,2.0,1,1.0,Apartamento,NOROCCIDENTE,208000000,SAN CIPRIANO
140.0,3.0,4,2.0,Apartamento,NOROCCIDENTE,521060220,IBERIA
140.0,3.0,3,2.0,Apartamento,NORTE,750000000,CHICO NORTE III
197.0,3.0,4,2.0,Casa,NORTE,940000000,BELMIRA
135.0,3.0,3,,Apartamento,CHAPINERO,960000000,LOS ROSALES
360.0,3.0,4,4.0,Apartamento,NORTE,5500000000,CHICO NORTE
64.0,2.0,2,1.0,Apartamento,NORTE,420000000,SANTA BARBARA ALTA
106.0,3.0,2,1.0,Apartamento,NOROCCIDENTE,530000000,PASADENA
139.0,3.0,3,2.0,Apartamento,NORTE,800000000,UNICENTRO
71.0,2.0,2,2.0,Apartamento,NORTE,430000000,LISBOA ANTIGUA
152.0,3.0,3,2.0,Casa,NORTE,480000000,VILLAS DEL MEDITERRANEO
70.0,3.0,2,1.0,Apartamento,NOROCCIDENTE,320000000,PRADO VERANIEGO
100.0,4.0,3,0.0,Casa,OCCIDENTAL,250000000,TABAKU DE LAS AMERICAS
117.0,3.0,2,2.0,Apartamento,NORTE,750000000,SAN PATRICI0
330.0,4.0,5,4.0,Casa,SIN DATO,1900000000,HACIENDA SAN SIMON
185.0,3.0,3,1.0,Apartamento,CENTRO,965000000,CENTRO LA MACARENA
73.3,3.0,3,1.0,Apartamento,NORTE,265000000,LA PRADERA NORTE
370.0,4.0,5,4.0,Apartamento,NORTE,2300000000,CERRO DE LOS ALPES
80.65,3.0,2,1.0,Apartamento,NOROCCIDENTE,365000000,BRITALIA
242.0,4.0,4,2.0,Apartamento,NORTE,1100000000,CHICO NAVARRA
155.51,3.0,4,2.0,Apartamento,NORTE,700000000,SANTA BARBARA
205.0,3.0,5,2.0,Apartamento,NOROCCIDENTE,980000000,ANDES NORTE
200.5,3.0,3,2.0,Casa,OCCIDENTAL,900000000,MODELIA
350.0,4.0,4,4.0,Casa,NOROCCIDENTE,1200000000,SAN JOSE DE BAVARIA
465.0,5.0,5,3.0,Apartamento,NORTE,2800000000,LA CAROLINA
58.0,3.0,2,0.0,Apartamento,NOROCCIDENTE,210000000,PRADO VERANIEGO NORTE
80.0,2.0,3,1.0,Apartamento,NORTE,450000000,CEDRITOS
400.0,3.0,4,4.0,Casa,NORTE,4100000000,SANTA ANA ORIENTAL
150.0,3.0,4,2.0,Apartamento,NORTE,970000000,LA CAROLINA-USAQUÉN
220.0,4.0,4,3.0,Casa,NOROCCIDENTE,1200000000,SAN JOSE DE BAVARIA
400.0,5.0,5,4.0,Casa,CHAPINERO,1990000000,TEUSAQUILLO
400.0,4.0,5,4.0,Casa,NORTE,3000000000,SANTA ANA ORIENTAL
157.0,5.0,2,0.0,Casa,OCCIDENTAL,550000000,EL REMANSO
182.0,2.0,4,2.0,Apartamento,NORTE,1100000000,ANTIGUO COUNTRY
127.0,2.0,2,2.0,Apartamento,NORTE,790000000,CHICO
144.0,3.0,4,2.0,Apartamento,NORTE,750000000,CHICO CENTRAL
241.0,4.0,5,2.0,Apartamento,NORTE,1260000000,CHICO ALTO
184.0,4.0,3,2.0,Apartamento,NORTE,1100000000,CHICO NAVARRA
372.0,3.0,5,3.0,Apartamento,NORTE,2950000000,LA CABRERA
230.0,3.0,3,3.0,Apartamento,NORTE,2875000000,EL VIRREY
243.5,3.0,3,1.0,Casa,NORTE,1500000000,SANTA BARBARA II
337.0,3.0,4,4.0,Casa,NOROCCIDENTE,1200000000,TORRELADERA CASA BLANCA
153.0,2.0,3,0.0,Apartamento,NORTE,1350000000,CHICO
130.0,3.0,3,2.0,Apartamento,NORTE,830000000,SANTA BARBARA CENTRAL
42.0,3.0,2,0.0,Apartamento,CHAPINERO,256000000,CHAPINERO CENTRAL
370.0,4.0,4,4.0,Casa,NOROCCIDENTE,1300000000,SAN JOSE DE BAVARIA
43.0,3.0,1,0.0,Apartamento,OCCIDENTAL,120000000,LOS PANTANOS
380.0,4.0,5,4.0,Casa,GUAYMARAL,1700000000,SAN SIMON GUAYMARAL
60.0,2.0,2,1.0,Apartamento,NORTE,310000000,BELLA SUIZA
49.0,2.0,2,1.0,Apartamento,NORTE,258200000,EL REDIL
150.0,3.0,4,2.0,Apartamento,NOROCCIDENTE,750000000,RESERVA DE GRATAMIRA
53.0,2.0,2,2.0,Apartamento,CHAPINERO,425000000,CHAPINERO EL CASTILLO
73.0,2.0,2,2.0,Apartamento,NORTE,498900000,CEDRITOS
155.0,4.0,4,2.0,Apartamento,GUAYMARAL,780000000,CONEJERA
60.0,3.0,2,1.0,Apartamento,SUR,250000000,EL PROGRESO
270.0,1.0,4,0.0,Casa,OCCIDENTAL,650000000,LA CABAÃ¿A ENGATIVA
280.0,1.0,4,3.0,Apartamento,NORTE,3613875000,EL REFUGIO
100.0,3.0,3,3.0,Casa,NOROCCIDENTE,490000000,TEJARES DEL NORTE 6
74.0,3.0,2,1.0,Apartamento,CHAPINERO,340000000,SANTA TERESITA
80.0,1.0,2,2.0,Apartamento,NORTE,634000000,LA CAROLINA
56.0,1.0,2,2.0,Apartamento,NORTE,460000000,SAN PATRICIO
130.0,3.0,3,2.0,Apartamento,NORTE,600000000,EL CONTADOR
140.0,3.0,3,2.0,Apartamento,NORTE,800000000,ALTOS DE SANTA ANA
172.0,3.0,4,2.0,Apartamento,NORTE,1300000000,CERROS DE LOS ALPES
95.0,3.0,2,1.0,Apartamento,NORTE,630000000,SANTA BARBARA
77.0,2.0,2,1.0,Apartamento,CENTRO,463000000,CHAPINERO NORTE
86.0,2.0,3,2.0,Apartamento,NORTE,670000000,SANTA BARBARA CENTRAL
181.0,4.0,3,2.0,Casa,NOROCCIDENTE,850000000,SAN NICOLAS
73.0,2.0,2,1.0,Apartamento,NORTE,437904000,NUEVA AUTOPISTA-USAQUÉN
145.0,3.0,3,2.0,Apartamento,SIN DATO,770000000,COLINA CAMPESTRE
47.0,3.0,1,0.0,Apartamento,OCCIDENTAL,132000000,CALANDAIMA
220.0,3.0,4,2.0,Apartamento,NORTE,1250000000,SANTA BARBARA
41.0,1.0,1,1.0,Apartamento,SUR,169400000,TUNAL
230.0,4.0,5,2.0,Apartamento,NORTE,1300000000,ALTOS DEL COUNTRY
85.0,3.0,2,1.0,Apartamento,NOROCCIDENTE,395000000,COLINA GILMAR
41.0,1.0,2,1.0,Apartamento,CHAPINERO,320000000,CHAPINERO CENTRAL
200.0,3.0,3,2.0,Apartamento,NORTE,1350000000,ROSALES
43.32,1.0,2,1.0,Apartamento,NOROCCIDENTE,279920000,PASADENA
59.0,1.0,1,0.0,Apartamento,NORTE,763100000,
156.0,2.0,3,2.0,Apartamento,NORTE,920000000,EL NOGAL
254.0,2.0,3,2.0,Apartamento,NORTE,3147447500,BELLAVISTA
127.0,3.0,3,2.0,Apartamento,OCCIDENTAL,640000000,LA FELICIDAD
88.0,3.0,2,2.0,Apartamento,NORTE,425000000,NUEVA CASTILLA TINTAL
182.0,3.0,4,2.0,Apartamento,NORTE,1478000000,LA CAROLINA
141.0,3.0,3,2.0,Apartamento,NORTE,750000000,LA CALLEJA
169.0,3.0,4,2.0,Apartamento,NORTE,1250000000,BELLA SUIZA
108.0,2.0,3,2.0,Apartamento,NORTE,1686500000,
152.0,3.0,3,3.0,Apartamento,NORTE,1070000000,SANTA BARBARA OCCIDENTAL
295.0,3.0,4,2.0,Casa,NOROCCIDENTE,990000000,LINDARAJA
100.0,2.0,3,2.0,Apartamento,NORTE,770000000,CHICÓ NORTE III
281.0,3.0,4,3.0,Apartamento,NORTE,1950000000,ROSALES
72.0,3.0,2,0.0,Apartamento,OCCIDENTAL,305579600,NUEVA CASTILLA
204.0,4.0,5,2.0,Apartamento,NORTE,1130000000,LA CAROLINA
72.0,3.0,2,0.0,Casa,OCCIDENTAL,350000000,AYACUCHO
163.0,2.0,3,2.0,Apartamento,NORTE,810000000,BELLA SUIZA
150.0,3.0,3,2.0,Apartamento,NORTE,1500000000,EL CHICO
66.0,2.0,2,1.0,Apartamento,CENTRO,429000000,EL CENTRO
201.0,3.0,3,2.0,Apartamento,NORTE,590000000,SANTA BARBARA CENTRAL
370.0,4.0,4,4.0,Apartamento,NORTE,2400000000,LA CAROLINA
82.0,2.0,2,1.0,Apartamento,NORTE,415000000,CEDRITOS
132.0,2.0,2,2.0,Apartamento,CHAPINERO,830000000,EMAUS
279.0,3.0,4,2.0,Apartamento,NORTE,2400000000,EL REFUGIO
30.0,1.0,1,1.0,Apartamento,NOROCCIDENTE,200000000,PASADENA
187.0,3.0,3,0.0,Apartamento,NORTE,990000000,SANTA BÁBARA
159.0,3.0,5,2.0,Apartamento,NORTE,1250000000,LOS ROSALES
180.0,2.0,3,2.0,Apartamento,NORTE,1250000000,EL REFUGIO
128.0,3.0,3,2.0,Apartamento,NORTE,1183841390,SAN PATRICIO
46.0,2.0,1,0.0,Apartamento,OCCIDENTAL,184000000,CIUDAD MONTES
350.0,4.0,5,4.0,Casa,NOROCCIDENTE,1950000000,SAN JOSE DE BAVARIA
180.0,2.0,3,3.0,Apartamento,NORTE,1800000000,LOS ROSALES
320.0,4.0,2,1.0,Casa,SUR,570000000,20 DE JULIO
102.0,4.0,3,1.0,Casa,NOROCCIDENTE,390000000,MIRANDELA
230.0,3.0,4,3.0,Apartamento,NORTE,1800000000,EL REFUGIO
190.0,3.0,3,2.0,Apartamento,NORTE,1150000000,CHICO
400.0,4.0,4,2.0,Casa,NORTE,5300000000,SANTA ANA ORIENTAL
165.0,3.0,4,3.0,Apartamento,CHAPINERO,1600000000,LOS ROSALES EMAUS
108.0,2.0,2,2.0,Apartamento,NORTE,480000000,RINCON DEL CHICO
292.0,4.0,4,2.0,Casa,NOROCCIDENTE,1200000000,CERROS DE SUBA
336.0,3.0,3,1.0,Casa,NOROCCIDENTE,1500000200,MORATO
79.0,3.0,3,2.0,Apartamento,NOROCCIDENTE,373000000,BRITALIA
135.0,3.0,4,2.0,Apartamento,NORTE,790000000,SANTA BARBARA
90.75,3.0,2,1.0,Apartamento,OCCIDENTAL,550000000,NORMANDIA
130.0,3.0,3,2.0,Apartamento,NORTE,810000000,CERROS DEL COUNTRY
98.0,2.0,2,1.0,Apartamento,NORTE,340000000,EL CONTADOR
57.0,2.0,2,0.0,Apartamento,CENTRO,246213000,
61.88,2.0,2,1.0,Apartamento,NOROCCIDENTE,390000000,COLINA CAMPESTRE
243.0,4.0,5,4.0,Casa,NOROCCIDENTE,2400000000,SAN JOSE DE BAVARIA
94.0,3.0,2,1.0,Apartamento,OCCIDENTAL,450000000,SANTA MARIA DEL LAGO
50.0,2.0,2,0.0,Apartamento,NOROCCIDENTE,175000000,CASA BLANCA SECTOR EL PLAN
201.0,3.0,4,2.0,Apartamento,NORTE,1200000000,CHICO
260.0,5.0,3,0.0,Casa,SUR,390000000,VRREY SUR
226.0,4.0,4,4.0,Apartamento,NORTE,1550000000,SANTA BARBARA OCCIDENTAL
220.0,3.0,3,1.0,Casa,OCCIDENTAL,450000000,VILLA ALSACIA
64.0,1.0,2,1.0,Apartamento,NORTE,460000000,SANTA BARBARA CENTRAL-USAQUÉN
276.0,3.0,4,2.0,Casa,NOROCCIDENTE,1200000000,SAN JOSE DE BAVARIA
200.0,4.0,4,2.0,Apartamento,NORTE,1200000000,SANTA BARBARA OCCIDENTAL
150.0,3.0,3,3.0,Apartamento,NORTE,690000000,LA CAROLINA
126.0,2.0,3,2.0,Apartamento,CHAPINERO,990000000,LOS ROSALES
218.0,3.0,4,2.0,Apartamento,NORTE,1600000000,EL NOGAL
125.0,2.0,3,2.0,Apartamento,NORTE,850000000,LA CAROLINA
106.0,3.0,3,1.0,Apartamento,NORTE,415000000,LOS CEDROS
164.0,3.0,4,2.0,Casa,NOROCCIDENTE,660000000,BATAN
66.0,3.0,2,1.0,Apartamento,OCCIDENTAL,275000000,HAYUELOS
52.56,3.0,2,1.0,Apartamento,OCCIDENTAL,265000000,SAN FERNANDO
66.26,3.0,2,1.0,Apartamento,OCCIDENTAL,346400000,VILLAS DE GRANADA
300.0,4.0,3,3.0,Casa,NORTE,830000000,LISBOA
153.0,3.0,3,2.0,Apartamento,NORTE,1150000000,RESERVA DE LA SIERRA
380.0,1.0,4,3.0,Casa,OCCIDENTAL,1100000000,EL GRECO
38.0,1.0,1,1.0,Apartamento,NORTE,250000000,"CHICO, CLINICA DE LA MUJER"
109.0,4.0,3,0.0,Casa,OCCIDENTAL,250000000,VILLAS DE GRANADA
267.0,4.0,5,3.0,Casa,SIN DATO,1400000000,ENCENILLOS DE SINDAMANOY
60.0,2.0,2,1.0,Apartamento,NOROCCIDENTE,323000000,NUEVA COLINA
82.54,2.0,2,2.0,Apartamento,NORTE,559999555,SANTA PAULA
156.0,4.0,3,2.0,Casa,OCCIDENTAL,550000000,LA EUROPA
39.0,2.0,1,0.0,Apartamento,OCCIDENTAL,160000000,PIO XII
424.0,5.0,5,0.0,Casa,SUR,700000000,LOS SAUCES
134.0,2.0,3,2.0,Apartamento,NORTE,680000000,SAN PATRICIO
440.0,4.0,5,3.0,Casa,NOROCCIDENTE,1500000000,SAN JOSE DE BAVARIA
69.0,3.0,2,1.0,Apartamento,OCCIDENTAL,590000000,LA ESPERANZA NORTE
120.0,3.0,3,2.0,Apartamento,NORTE,650000000,EL CHICO
58.0,4.0,2,1.0,Casa,NOROCCIDENTE,196000000,MIRANDELA VILLAS DEL NORTE
355.0,4.0,3,3.0,Casa,SIN DATO,1600000000,CEDRITOS
138.0,2.0,3,2.0,Apartamento,NORTE,950000000,BELLAVISTA ROSALES
114.0,3.0,3,2.0,Apartamento,NORTE,890000000,LA CABRERA
92.0,3.0,2,0.0,Apartamento,CHAPINERO,430000000,CHAPINERO ALTO
71.0,2.0,2,1.0,Apartamento,NORTE,350000000,CEDRITOS
69.0,2.0,2,1.0,Apartamento,NORTE,460000000,SANTA BARBARA OCCIDENTAL
65.0,3.0,2,1.0,Apartamento,OCCIDENTAL,230000000,TABORA
328.0,3.0,4,2.0,Apartamento,NORTE,2700000000,EL NOGAL
188.0,4.0,4,2.0,Casa,GUAYMARAL,800000000,CAMINO DE LOS ARRAYANES
208.0,3.0,3,2.0,Casa,NOROCCIDENTE,890000000,NIZA SUBA
126.0,3.0,4,2.0,Apartamento,NORTE,760000000,SAN PATRICIO
416.29,5.0,3,4.0,Casa,NOROCCIDENTE,1350000000,NIZA NORTE
89.0,3.0,2,2.0,Apartamento,NOROCCIDENTE,450000000,ALCAZAR DE SAN LUIS
107.0,3.0,3,2.0,Apartamento,NORTE,750000000,CHICO
73.0,2.0,2,1.0,Apartamento,NORTE,285000000,CEDRITOS
280.0,5.0,4,0.0,Casa,SUR,480000000,RESTREPO
103.0,3.0,3,2.0,Apartamento,NOROCCIDENTE,530000000,MAZUREN
40.0,2.0,1,1.0,Apartamento,NOROCCIDENTE,208000000,SAN CIPRIANO
140.0,3.0,4,2.0,Apartamento,NOROCCIDENTE,521060220,IBERIA
140.0,3.0,3,2.0,Apartamento,NORTE,750000000,CHICO NORTE III
197.0,3.0,4,2.0,Casa,NORTE,940000000,BELMIRA
135.0,3.0,3,,Apartamento,CHAPINERO,960000000,LOS ROSALES
360.0,3.0,4,4.0,Apartamento,NORTE,5500000000,CHICO NORTE
64.0,2.0,2,1.0,Apartamento,NORTE,420000000,SANTA BARBARA ALTA
106.0,3.0,2,1.0,Apartamento,NOROCCIDENTE,530000000,PASADENA
139.0,3.0,3,2.0,Apartamento,NORTE,800000000,UNICENTRO
71.0,2.0,2,2.0,Apartamento,NORTE,430000000,LISBOA ANTIGUA
152.0,3.0,3,2.0,Casa,NORTE,480000000,VILLAS DEL MEDITERRANEO
70.0,3.0,2,1.0,Apartamento,NOROCCIDENTE,320000000,PRADO VERANIEGO
100.0,4.0,3,0.0,Casa,OCCIDENTAL,250000000,TABAKU DE LAS AMERICAS
117.0,3.0,2,2.0,Apartamento,NORTE,750000000,SAN PATRICI0
330.0,4.0,5,4.0,Casa,SIN DATO,1900000000,HACIENDA SAN SIMON
185.0,3.0,3,1.0,Apartamento,CENTRO,965000000,CENTRO LA MACARENA
73.3,3.0,3,1.0,Apartamento,NORTE,265000000,LA PRADERA NORTE
370.0,4.0,5,4.0,Apartamento,NORTE,2300000000,CERRO DE LOS ALPES
80.65,3.0,2,1.0,Apartamento,NOROCCIDENTE,365000000,BRITALIA
242.0,4.0,4,2.0,Apartamento,NORTE,1100000000,CHICO NAVARRA
155.51,3.0,4,2.0,Apartamento,NORTE,700000000,SANTA BARBARA
205.0,3.0,5,2.0,Apartamento,NOROCCIDENTE,980000000,ANDES NORTE
200.5,3.0,3,2.0,Casa,OCCIDENTAL,900000000,MODELIA
350.0,4.0,4,4.0,Casa,NOROCCIDENTE,1200000000,SAN JOSE DE BAVARIA
465.0,5.0,5,3.0,Apartamento,NORTE,2800000000,LA CAROLINA
58.0,3.0,2,0.0,Apartamento,NOROCCIDENTE,210000000,PRADO VERANIEGO NORTE
80.0,2.0,3,1.0,Apartamento,NORTE,450000000,CEDRITOS
400.0,3.0,4,4.0,Casa,NORTE,4100000000,SANTA ANA ORIENTAL
150.0,3.0,4,2.0,Apartamento,NORTE,970000000,LA CAROLINA-USAQUÉN
220.0,4.0,4,3.0,Casa,NOROCCIDENTE,1200000000,SAN JOSE DE BAVARIA
400.0,5.0,5,4.0,Casa,CHAPINERO,1990000000,TEUSAQUILLO
400.0,4.0,5,4.0,Casa,NORTE,3000000000,SANTA ANA ORIENTAL
157.0,5.0,2,0.0,Casa,OCCIDENTAL,550000000,EL REMANSO
182.0,2.0,4,2.0,Apartamento,NORTE,1100000000,ANTIGUO COUNTRY
127.0,2.0,2,2.0,Apartamento,NORTE,790000000,CHICO
144.0,3.0,4,2.0,Apartamento,NORTE,750000000,CHICO CENTRAL
241.0,4.0,5,2.0,Apartamento,NORTE,1260000000,CHICO ALTO
184.0,4.0,3,2.0,Apartamento,NORTE,1100000000,CHICO NAVARRA
372.0,3.0,5,3.0,Apartamento,NORTE,2950000000,LA CABRERA
230.0,3.0,3,3.0,Apartamento,NORTE,2875000000,EL VIRREY
243.5,3.0,3,1.0,Casa,NORTE,1500000000,SANTA BARBARA II
337.0,3.0,4,4.0,Casa,NOROCCIDENTE,1200000000,TORRELADERA CASA BLANCA
153.0,2.0,3,0.0,Apartamento,NORTE,1350000000,CHICO
130.0,3.0,3,2.0,Apartamento,NORTE,830000000,SANTA BARBARA CENTRAL
42.0,3.0,2,0.0,Apartamento,CHAPINERO,256000000,CHAPINERO CENTRAL
370.0,4.0,4,4.0,Casa,NOROCCIDENTE,1300000000,SAN JOSE DE BAVARIA
43.0,3.0,1,0.0,Apartamento,OCCIDENTAL,120000000,LOS PANTANOS
380.0,4.0,5,4.0,Casa,GUAYMARAL,1700000000,SAN SIMON GUAYMARAL
58.0,1.0,2,1.0,Apartamento,NORTE,480000000,SAN PATRICIO
68.0,2.0,3,2.0,Apartamento,NORTE,490000000,LA CALLEJA
107.0,3.0,2,2.0,Apartamento,NOROCCIDENTE,535000000,EL BATAN
41.0,1.0,1,1.0,Apartamento,NORTE,273332289,NUEVA AUTOPISTA-USAQUÉN
117.0,3.0,3,2.0,Apartamento,NORTE,398000000,CEDRO GOLF-USAQUÉN
127.0,3.0,2,3.0,Apartamento,NOROCCIDENTE,550000000,COLINA CAMPESTRE
66.0,3.0,2,2.0,Apartamento,OCCIDENTAL,265000000,URB. CASTILLA
232.0,3.0,5,4.0,Apartamento,GUAYMARAL,1250000000,CAMINO DE ARRAYANES
133.0,2.0,3,2.0,Apartamento,NORTE,1140000000,VIRREY ANTIGUO
40.0,1.0,1,1.0,Apartamento,CENTRO,320000000,CENTRO
129.4,3.0,3,2.0,Apartamento,NORTE,700000000,SAN PATRICIO
92.0,2.0,1,2.0,Casa,OCCIDENTAL,370000000,MARSELLA
62.0,2.0,2,1.0,Apartamento,NORTE,485000000,CHICO NAVARRA
150.0,3.0,3,2.0,Apartamento,NORTE,920000000,ANTIGUO CONTRY
145.0,3.0,3,2.0,Apartamento,NORTE,875000000,SANTA BARBARA
109.0,3.0,3,2.0,Apartamento,NORTE,700000000,LA PORCIUNCULA
122.0,4.0,3,2.0,Casa,OCCIDENTAL,680000000,ALAMOS NORTE
36.0,2.0,1,0.0,Apartamento,OCCIDENTAL,135000000,RESERVA DE SAN AGUSTÍN 3
161.0,4.0,4,3.0,Casa,OCCIDENTAL,620000000,MANDALAY
191.0,4.0,5,2.0,Apartamento,NORTE,885000000,CHICO
143.0,3.0,3,2.0,Apartamento,NORTE,650000000,MOLINOS NORTE
125.55,3.0,3,2.0,Apartamento,NORTE,850000000,SANTA ANA OCCIDENTAL
115.0,3.0,3,2.0,Apartamento,NORTE,680000000,SANTA PAULA
160.0,3.0,4,2.0,Apartamento,NOROCCIDENTE,900000000,ESTORIL
94.0,3.0,3,1.0,Apartamento,NOROCCIDENTE,390000000,IBERIA - COLINA CAMPESTRE
118.0,3.0,3,1.0,Apartamento,NORTE,450000000,BELLA SUIZA
189.0,3.0,4,2.0,Casa,SIN DATO,750000000,CAMINO DE ARRAYANES
70.0,3.0,2,1.0,Apartamento,OCCIDENTAL,430000000,CIUDADELA LA FELICIDAD
94.0,3.0,2,1.0,Apartamento,NORTE,445000000,TOBERIN ORQUIDEAS
244.0,3.0,5,3.0,Casa,NORTE,1200000000,BELMIRA
182.0,3.0,4,2.0,Apartamento,NORTE,1478000000,LA CAROLINA
141.0,3.0,3,2.0,Apartamento,NORTE,750000000,LA CALLEJA
169.0,3.0,4,2.0,Apartamento,NORTE,1250000000,BELLA SUIZA
108.0,2.0,3,2.0,Apartamento,NORTE,1686500000,
152.0,3.0,3,3.0,Apartamento,NORTE,1070000000,SANTA BARBARA OCCIDENTAL
295.0,3.0,4,2.0,Casa,NOROCCIDENTE,990000000,LINDARAJA
100.0,2.0,3,2.0,Apartamento,NORTE,770000000,CHICÓ NORTE III
281.0,3.0,4,3.0,Apartamento,NORTE,1950000000,ROSALES
72.0,3.0,2,0.0,Apartamento,OCCIDENTAL,305579600,NUEVA CASTILLA
204.0,4.0,5,2.0,Apartamento,NORTE,1130000000,LA CAROLINA
72.0,3.0,2,0.0,Casa,OCCIDENTAL,350000000,AYACUCHO
163.0,2.0,3,2.0,Apartamento,NORTE,810000000,BELLA SUIZA
150.0,3.0,3,2.0,Apartamento,NORTE,1500000000,EL CHICO
66.0,2.0,2,1.0,Apartamento,CENTRO,429000000,EL CENTRO
201.0,3.0,3,2.0,Apartamento,NORTE,590000000,SANTA BARBARA CENTRAL
370.0,4.0,4,4.0,Apartamento,NORTE,2400000000,LA CAROLINA
82.0,2.0,2,1.0,Apartamento,NORTE,415000000,CEDRITOS
132.0,2.0,2,2.0,Apartamento,CHAPINERO,830000000,EMAUS
279.0,3.0,4,2.0,Apartamento,NORTE,2400000000,EL REFUGIO
30.0,1.0,1,1.0,Apartamento,NOROCCIDENTE,200000000,PASADENA
187.0,3.0,3,0.0,Apartamento,NORTE,990000000,SANTA BÁBARA
159.0,3.0,5,2.0,Apartamento,NORTE,1250000000,LOS ROSALES
180.0,2.0,3,2.0,Apartamento,NORTE,1250000000,EL REFUGIO
128.0,3.0,3,2.0,Apartamento,NORTE,1183841390,SAN PATRICIO
46.0,2.0,1,0.0,Apartamento,OCCIDENTAL,184000000,CIUDAD MONTES
350.0,4.0,5,4.0,Casa,NOROCCIDENTE,1950000000,SAN JOSE DE BAVARIA
180.0,2.0,3,3.0,Apartamento,NORTE,1800000000,LOS ROSALES
320.0,4.0,2,1.0,Casa,SUR,570000000,20 DE JULIO
102.0,4.0,3,1.0,Casa,NOROCCIDENTE,390000000,MIRANDELA
230.0,3.0,4,3.0,Apartamento,NORTE,1800000000,EL REFUGIO
190.0,3.0,3,2.0,Apartamento,NORTE,1150000000,CHICO
400.0,4.0,4,2.0,Casa,NORTE,5300000000,SANTA ANA ORIENTAL
165.0,3.0,4,3.0,Apartamento,CHAPINERO,1600000000,LOS ROSALES EMAUS
108.0,2.0,2,2.0,Apartamento,NORTE,480000000,RINCON DEL CHICO
292.0,4.0,4,2.0,Casa,NOROCCIDENTE,1200000000,CERROS DE SUBA
